Citation	Full Reference	Data Type	Resource Type	Resource Type Comment	Methods	Methods Comment	Location	Year	Accession	Accession Type
268	Hoddé, P. M.-C. (2023, February 24). Lepinet.fr—Episcythrastis tetricella—La Phycide du Saule à oreillette (Myelopsis tetricella). lepinet.fr. https://www.lepinet.fr/especes/nation/lep/index.php?e=l&id=27420	Analogue	Scientific website		NA		France	2023	https://www.lepinet.fr/especes/nation/lep/index.php?e=l&id=27420	URL
269	Euzopherodes vapidella. (2021). In Wikipedia. https://en.wikipedia.org/w/index.php?title=Euzopherodes_vapidella&oldid=1029183535	Analogue	Voluntary website		NA		NA	2021	https://en.wikipedia.org/w/index.php?title=Euzopherodes_vapidella&oldid=1029183535	URL
270	Wagner, W. (n.d.). European Lepidoptera and their ecology: Cybosia mesomella. Retrieved 1 May 2023, from http://www.pyrgus.de/Cybosia_mesomella_en.html	Analogue	Scientific website		NA		Europe	NA	http://www.pyrgus.de/Cybosia_mesomella_en.html	URL
271	De Prins, J., & De Prins, W. (2008). Isauria dilucidella (Duponchel, 1836). Afromoths. https://www.afromoths.net/species_by_code/ISAUDILU	Analogue	Scientific website		NA		Belgium	2008	https://www.afromoths.net/species_by_code/ISAUDILU	URL
272	Kuchlein, J., & Kleinpaste, R. (1977). Lamoria anella (Denis & Schiffermüller), new te the Netherlands (Lepidoptera, Pyralidae). Entomologische Berichten, 37(10), 157–160.	Analogue	Primary literature		NA		Europe	1977	https://natuurtijdschriften.nl/pub/1013276/EB1977037010006.pdf	URL
273	Savela, M. (2003). Nemapogon. Markku Savela’s Lepidoptera and Some Other Life Forms. http://www.nic.funet.fi/pub/sci/bio/life/insecta/lepidoptera/ditrysia/tineoidea/tineidae/nemapogoninae/nemapogon/index.html	Analogue	Scientific website		NA		Finland	2003	http://www.nic.funet.fi/pub/sci/bio/life/insecta/lepidoptera/ditrysia/tineoidea/tineidae/nemapogoninae/nemapogon/index.html	URL
274	Hoddle, M., Mound, L., & Paris, D. (2012). Aeolothrips albicinctus. Thrips of California. https://keys.lucidcentral.org/keys/v3/thrips_of_california/identify-thrips/key/california-thysanoptera-2012/Media/Html/browse_species/Aeolothrips_albicinctus.htm	Analogue	Database		Metaanalysis		USA	2012	https://keys.lucidcentral.org/keys/v3/thrips_of_california/identify-thrips/key/california-thysanoptera-2012/Media/Html/browse_species/Aeolothrips_albicinctus.htm	URL
275	Jones, J. R. (2008). Panorphidae (common scorpionflies). https://web.archive.org/web/20160411211840/http://people.tamu.edu/~grenouille1333/Research/Panorpidae.html	Analogue	Scientific website		NA		USA	2008	https://web.archive.org/web/20160411211840/http://people.tamu.edu/~grenouille1333/Research/Panorpidae.html	URL
276	Wachmann, E., & Saure, C. (1997). Netzflügler, Schlamm- und Kamelhalsfliegen: Beobachtung, Lebensweise. In Netzflügler, Schlamm- und Kamelhalsfliegen Beobachtung, Lebensweise. Naturbuch-Verlag.	Analogue	Book		NA		Germany	1997	38-9440-222-9	ISBN-10
277	Engel, M. S., & Grimaldi, D. A. (2007). The Neuropterid Fauna of Dominican and Mexican Amber (Neuropterida: Megaloptera, Neuroptera). American Museum Novitates, 2007(3587), 1–58. https://doi.org/10.1206/0003-0082(2007)3587[1:TNFODA]2.0.CO;2	Analogue	Book		NA		USA	2007	10.1206/0003-0082(2007)3587[1:TNFODA]2.0.CO;2	DOI
278	Ludwig, H. W., Becker, N., Gerbhardt, H., Kögel, F., Kreimes, K., & Ludwig, M. (2003). Tiere und Pflanzen unserer Gewässer: Merkmale, Biologie, Lebensraum, Gefährdung. BLV Verlagsgesellschaft.	Analogue	Book		NA		Germany	2003	34-0516-487-7	ISBN-10
279	Hoddle, M., Mound, L., & Paris, D. (2012). Apterothrips secticornis. Thrips of California. https://keys.lucidcentral.org/keys/v3/thrips_of_california/identify-thrips/key/california-thysanoptera-2012/Media/Html/browse_species/Apterothrips_secticornis.htm	Analogue	Database		Metaanalysis		USA	2012	https://keys.lucidcentral.org/keys/v3/thrips_of_california/identify-thrips/key/california-thysanoptera-2012/Media/Html/browse_species/Apterothrips_secticornis.htm	URL
280	Mound, L., Collins, D., & Hastings, A. (2018). Factsheet—Acanthothrips nodicornis. Thysanoptera Britannica et Hibernica- Thrips of the British Isles. https://keys.lucidcentral.org/keys/v3/british_thrips/the_key/key/britishthysanoptera/Media/Html/Entities/acanthothrips_nodicornis.htm	Digital	Book		Metaanalysis		United Kingdom; Ireland	2018	https://keys.lucidcentral.org/keys/v3/british_thrips/the_key/key/britishthysanoptera/Media/Html/Entities/acanthothrips_nodicornis.htm	URL
281	Mound, L. A., & and Minaei, K. (2007). Australian thrips of the Haplothrips lineage (Insecta: Thysanoptera). Journal of Natural History, 41(45–48), 2919–2978. https://doi.org/10.1080/00222930701783219	Analogue	Primary literature		NA		Australia	2007	10.1080/00222930701783219	DOI
282	Mycterothrips albidicornis. (2021). Thrips Wiki. https://thrips.info/wiki/Mycterothrips_albidicornis	Analogue	Scientific website		NA		NA	2021	https://thrips.info/wiki/Mycterothrips_albidicornis	URL
283	Resh, V. H., & Carde, R. T. (2003). Encyclopedia of insects. In Encyclopedia of insects. Academic Press.	Analogue	Scientific website		NA		USA	2003	978-00-8054-605-6	ISBN-13
284	Hamrsky, J. (n.d.). Caddisfly larvae (order Trichoptera)—LIFE IN FRESHWATER. LIFE IN FRESHWATER - Macro Photography of Aquatic Insects and Other Freshwater Invertebrates. Retrieved 6 March 2023, from https://lifeinfreshwater.net/caddisfly-larvae-trichoptera/	Analogue	Voluntary website		NA		Czech Republic	NA	https://lifeinfreshwater.net/caddisfly-larvae-trichoptera/	URL
285	Jackman, J. A., & Drees, B. M. (1998). A Field Guide to Common Texas Insects. Taylor Trade Publishing. https://books.google.ch/books?id=sTH5AQAAQBAJ	Analogue	Book		NA		USA	1998	978-14-6162-291-8	ISBN-13
286	Mastitsky, S. (2009). Chelicorophium curvispinum (Caspian mud shrimp). CABI Compendium, 108307. https://doi.org/10.1079/cabicompendium.108307	Digital	Institutional website		NA		Europe; Russia	2009	10.1079/cabicompendium.108307	DOI
287	Pavesi, L., & Olesen, J. (2017). Functional morphology and environmental adaptations of mouthparts in the driftwood amphipod Macarorchestia remyi (Schellenberg, 1950), and a comparison with the sandhopper Talitrus saltator (Montagu, 1808) (Amphipoda: Talitridae). Journal of Crustacean Biology, 37(1), 37–44. https://doi.org/10.1093/jcbiol/ruw006	Analogue	Primary literature		Morphological analysis	Morphological analysis of mouthparts	Italy	2017	10.1093/jcbiol/ruw006	DOI
288	Fogelman, K. J., Stoeckel, J. A., Miller, J. M., & Helms, B. S. (2023). Feeding ecology of three freshwater mussel species (Family: Unionidae) in a North American lentic system. Hydrobiologia, 850(2), 385–397. https://doi.org/10.1007/s10750-022-05080-8	Analogue	Primary literature		Experimental observation		North America	2022	10.1007/s10750-022-05080-8	DOI
289	Hydrobiidae. (2023). In Wikipedia. https://en.wikipedia.org/w/index.php?title=Hydrobiidae&oldid=1160169494	Analogue	Voluntary website		NA		NA	2023	https://en.wikipedia.org/w/index.php?title=Hydrobiidae&oldid=1160169494	URL
290	Fechter, R., & Falkner, G. (1990). Weichtiere. Europäische Meeres- und Binnenmollusken: Vol. Steinbachs Naturführer 10. Mosaik-Verlag. https://onlinelibrary.wiley.com/doi/abs/10.1002/biuz.19910210115	Analogue	Book		NA		Germany	1990	10.1002/biuz.19910210115	DOI
291	Helix lucorum—Facts, Diet, Habitat & Pictures on Animalia.bio. (n.d.). Animalia. Retrieved 7 May 2023, from https://animalia.bio/helix-lucorum	Analogue	Scientific website		NA		NA	2023	https://animalia.bio/helix-lucorum	URL
292	Scheibchenschnecken. (2018). In Wikipedia. https://de.wikipedia.org/w/index.php?title=Scheibchenschnecken&oldid=180304298	Analogue	Voluntary website		NA		NA	2018	https://de.wikipedia.org/w/index.php?title=Scheibchenschnecken&oldid=180304298	URL
293	Pfenninger, M., Hrabáková, M., Steinke, D., & Dèpraz, A. (2005). Why do snails have hairs? A Bayesian inference of character evolution. BMC Evolutionary Biology, 5(1), 59. https://doi.org/10.1186/1471-2148-5-59	Analogue	Primary literature		NA		Germany	2005	10.1186/1471-2148-5-59	DOI
294	Beutel, R. G., & Leschen, R. A. B. (2016). Volume 1 Coleoptera, Beetles. Morphology and Systematics. In Handbook of Zoology. De Gruyter. https://doi.org/10.1515/9783110373929	Analogue	Book		NA		Global	2016	10.1515/9783110373929	DOI
295	Ślipinśki, A., & Tomaszewska, W. (2010). 10.30. Alexiidae Imhoff, 1856. In W. Kükenthal, R. A. B. Leschen, R. G. Beutel, & J. F. Lawrence (Eds.), Volume 2 Morphology and Systematics (Elateroidea, Bostrichiformia, Cucujiformia partim) (pp. 432–434). De Gruyter.	Analogue	Book section		NA		Global	2010	10.1515/9783110911213.432	DOI
296	Anguis veronensis. (2023). In Wikipedia. https://en.wikipedia.org/w/index.php?title=Anguis_veronensis&oldid=1131216889	Analogue	Voluntary website		NA		NA	2023	https://en.wikipedia.org/w/index.php?title=Anguis_veronensis&oldid=1131216889	URL
297	Chandler, D. S. (2002). Anthicidae. In Arnett, R. and Thomas, M. (eds.) American Beetles. CRC Press.	Analogue	Book chapter		NA		USA	2002	978-14-2004-123-1	ISBN-13
298	Anthomyzidae. (2023). In Wikipedia. https://en.wikipedia.org/w/index.php?title=Anthomyzidae&oldid=1133142048	Analogue	Voluntary website		NA		NA	2023	https://en.wikipedia.org/w/index.php?title=Anthomyzidae&oldid=1133142048	URL
299	Amalin, D. M., Reiskind, J., McSorley, R., & Peña, J. (1999). Survival of the Hunting Spider, Hibana velox (Araneae, Anyphaenidae), Raised on Different Artificial Diets. The Journal of Arachnology, 27(3), 692–696. JSTOR. 	Analogue	Primary literature		NA		USA	1999	http://www.jstor.org/stable/3706349	URL
300	Austin, K. (2017). Family Dryadaulidae—Dancing Moths. https://bugguide.net/node/view/1222254	Analogue	Scientific website		NA		North America	2017	https://bugguide.net/node/view/1222254	URL
301	Balaban, J., Balaban, J., Coin, P., Eaton, E. R., VanDyk, J., Moisset, B., Gould, A., Barnd, B., Schneider, K., Marfus, V., & Santos, A. (2020). Family Calliphoridae—Blow Flies. Bugguide. https://bugguide.net/node/view/7175	Analogue	Scientific website		NA		North America	2020	https://bugguide.net/node/view/7175	URL
302	Foelix, R. F. (2015). Biologie der Spinnen (3., völlig neu bearbeitete und aktualisierte Auflage). Edition Chimaira.	Analogue	Book		NA		Germany	1992	978-38-9973-444-7	ISBN-13
303	Barnd, B., Moisset, B., McLeod, R., Entz, C., Quinn, M., & Marfus, V. (2023). Species Labia minor—Lesser Earwig. Bugguide. https://bugguide.net/node/view/128080	Analogue	Scientific website		NA		North America	2007	https://bugguide.net/node/view/128080	URL
304	Barnd, B., Harpootlian, P., & Marfus, V. (2014). Family Sphaeriusidae—Minute Bog Beetles. Bugguide. https://bugguide.net/node/view/417726	Analogue	Scientific website		NA		North America	2010	https://bugguide.net/node/view/417726	URL
305	Bartlett, T., Moisset, B., Elliott, L., Bayless, K., Kropiewnicki, T., Schusteff, A., Carr, J. F., Marfus, V., Santos, A., & Dankowicz, Z. (2023). Family Dolichopodidae—Longlegged Flies. https://bugguide.net/node/view/100	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/100	URL
306	Bartlett, T., Nendick-Mason, H., McLeod, R., Bayless, K., Barnd, B., Schneider, J., Marfuss, V., & Pote, S. (2023). Family Ulidiidae—Picture-winged Flies. https://bugguide.net/node/view/5916	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/5916	URL
307	Bartlett, T., Coin, P., McLeod, R., Elliott, L., Hunt, C., Hollenbeck, J., Entz, C., & Howe, M. (2021). Family Agelenidae—Funnel Weavers. https://bugguide.net/node/view/1974	Analogue	Scientific website		NA		North America	2021	https://bugguide.net/node/view/1974	URL
308	Coin, P., Bartlett, T., Nendick-Mason, H., VanDyk, J., Elliott, L., Wirth, C., Hunt, C., Heins, C., Roberts, J., Schneider, K., & Eiseman, C. (2023). Family Araneidae—Orb Weavers. https://bugguide.net/node/view/1972	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/1972	URL
309	Bartlett, T., Coin, P., Nendick-Mason, H., Moisset, B., Thomas, A. W., Gruber, J., Entz, C., Quinn, M., Coulter, B., Schusteff, A., Carr, J. F., Marfus, V., Wolgemuth, K., Hess, M., Cohen, C., & Santos, A. (2023). Family Asilidae—Robber Flies. https://bugguide.net/node/view/151	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/151	URL
310	Bartlett, T., Coin, P., McLeod, R., Harpootlian, P., McClarin, J., Barnd, B., Entz, C., Wirth, C., Quinn, M., Moyer, T., Messer, P., Parker, A., Marfus, V., Loh, T., & Harden, C. (2023). Family Carabidae—Ground Beetles. https://bugguide.net/node/view/186	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/186	URL
311	Bartlett, T., Coin, P., Balaban, J., Balaban, J., Cresswel, S., Moisset, B., McLeod, R., Harpootlian, P., Entz, C., MacRae, T., Quinn, M., Maxwell, J., Haines, R. D., Marfus, V., Parker, A., Richards, B., Hess, M., Rogers, R., & Hoskins, J. (2023). Family Cerambycidae—Longhorn Beetles. https://bugguide.net/node/view/171	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/171	URL
312	Bartlett, T., Boone, M., Coin, P., Harpootlian, P., Gruber, J., Barnd, B., Moyer, T., Eiseman, C., Marfus, V., Eaton, E. R., & Kim, W. (2023). Family Cleridae—Checkered Beetles. https://bugguide.net/node/view/113	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/113	URL
313	Bartlett, T., Moisset, B., McLeod, R., Quinn, M., & Marfus, V. (23 C.E.). Family Gerridae—Water Striders. https://bugguide.net/node/view/163	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/163	URL
314	Bartlett, T., Coin, P., Harpootlian, P., Hanley, G., Gruber, J., Barnd, B., Quinn, M., Marfus, V., & Santos, A. (2023). Subfamily Silphinae—Carrion Beetles. https://bugguide.net/node/view/167	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/167	URL
315	Bartlett, T., Coin, P., Marfus, V., & Santos, A. (2023). Family Tetrigidae—Pygmy Grasshoppers. https://bugguide.net/node/view/106	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/106	URL
316	Bartlett, T., Coin, P., Moisset, B., Harpootlian, P., Marfus, V., Wolgemuth, K., Hess, M., & Santos, A. (2020). Family Lycidae—Net-winged Beetles. https://bugguide.net/node/view/172	Analogue	Scientific website		NA		North America	2020	https://bugguide.net/node/view/172	URL
317	Bartlett, T., Coin, P., Cresswel, S., Moisset, B., Harpootlian, P., Wirth, C., Barnd, B., Quinn, M., Marfus, V., Ruden, E., & Hess, M. (2022). Family Tenebrionidae—Darkling Beetles. https://bugguide.net/node/view/152	Analogue	Scientific website		NA		North America	2022	https://bugguide.net/node/view/152	URL
318	Bauernfeind, E., & Soldan, T. (2012). The Mayflies of Europe (Ephemeroptera). Brill.	Analogue	Book		NA		Europe	2012	978-90-0426-088-7	ISBN-13
319	Bayless, K., Moisset, B., Carr, J. F., Marfus, V., & Hess, M. (2007). Family Fanniidae. https://bugguide.net/node/view/100523	Analogue	Scientific website		NA		North America	2007	https://bugguide.net/node/view/100523	URL
320	Bellmann, H. (2009). Endromis versicolora. In Der neue Kosmos-Schmetterlingsführer: [Schmetterlinge, Raupen und Futterpflanzen] (p. 84). Kosmos.	Analogue	Book section		NA		Central Europe	2009	978-34-4011-965-5	ISBN-13
321	Ziegler, H. (2019). Dichagyris signifera. Schmetterlinge Der Schweiz - Butterflies & Moths of Switzerland. https://www.pieris.ch/seiten/main.php?page=art&art=noct_signifera	Analogue	Scientific website		NA		Switzerland	2019	https://www.pieris.ch/seiten/main.php?page=art&art=noct_signifera	URL
322	Beuk, P. L. (2001). Family Mycetobiidae. In In: Beuk, P.L.Th. (Ed.): Checklist of the Diptera of the Netherlands. https://diptera-info.nl/news.php?fam=Mycetobiidae	Analogue	Primary literature		NA		Netherlands	2001	https://diptera-info.nl/news.php?fam=Mycetobiidae	URL
323	Wagner, W. (n.d.). Europäische Schmetterlinge und ihre Ökologie: Sideridis. Retrieved 1 May 2023, from http://www.pyrgus.de/Sideridis.html	Analogue	Scientific website		NA		Europe	NA	http://www.pyrgus.de/Sideridis.html	URL
324	Watson, L., & Dallwitz, M. (2003). Blastobasidae. In Insects of Britain and Ireland: The families of Lepidoptera. Version: 14th April 2022. https://www.delta-intkey.com/britin/lep/www/blastoba.htm	Analogue	Book section	Online version of the book	NA		United Kingdom; Ireland	2022	https://www.delta-intkey.com/britin/lep/www/blastoba.htm	URL
325	Brohmer, P., Bohlken, H., & Schaefer, M. (1992). Fauna von Deutschland: Ein Bestimmungsbuch unserer heimischen Tierwelt. In Fauna von Deutschland ein Bestimmungsbuch unserer heimischen Tierwelt (18., neu bearb. und neu gestaltete Aufl. / [Hrsg.:] Matthias Schaefer; unter Mitarb. von H. Bohlken ... [et al.]). Quelle & Meyer.	Analogue	Book		NA		Germany	1992	34-9401-200-8	ISBN-10
326	Rindal, E., Søli, G., & Gammelmo, Ø. (2008). On the family Bolitophilidae (Diptera, Mycetophiliformia) in Norway. Norwegian Journal of Entomology, 55, 169–173.	Analogue	Primary literature		NA		Norway	2008	https://www.online-keys.net/sciaroidea/add01/Rindal_et_al_2008_Bolitophilidae_Norway.pdf	URL
327	Bonacci, T., Aloise, G., Brandmayr, P., Brandmayr, T. Z., & Capula, M. (2008). Testing the predatory behaviour of Podarcis sicula (Reptilia: Lacertidae) towards aposematic and non-aposematic preys. Amphibia-Reptilia, 29(3), 449–453. https://doi.org/10.1163/156853808785111986	Analogue	Primary literature		Experimental observation		Italy	2008	10.1163/156853808785111986	DOI
328	Mullen, G. R., & Durden, L. A. (Eds.). (2019). Medical and Veterinary Entomology. Academic Press. https://doi.org/10.1016/B978-0-12-814043-7.01001-3	Analogue	Book		Metaanalysis		Global	2019	10.1016/B978-0-12-814043-7.01001-3	DOI
329	Brittain, J. E., & Sartori, M. (2009). Chapter 91 - Ephemeroptera: (Mayflies). In V. H. Resh & R. T. Cardé (Eds.), Encyclopedia of Insects (Second Edition) (pp. 328–334). Academic Press. https://doi.org/10.1016/B978-0-12-374144-8.00100-4	Analogue	Book chapter		Metaanalysis		Global	2009	10.1016/B978-0-12-374144-8.00100-4	DOI
330	Maier, C., Lawrence, J. F., & Leschen, R. A. B. (2016). Byrrhidae Latreille, 1804. In Beutel, R.G. and Leschen R.A.B. (eds.)Handbook of Zoology: Vol. 1 Coleoptera, Beetles. Morphology and Systematics. De Gruyter.	Analogue	Book section		NA		Global	2016	978-31-1037-392-9	ISBN-13
